Nr;Rizikos objekto Id;Padalinys;Vieta;Tarpstotis;Norm_uztv_padetis;sergimoji_nesergimoji;Bendrojo_nebendrojo;Plotis;Pagr_keliu_sk;Nepagr_keliu_sk;Max_keleiv_greitis;Max_krov_greitis;Max_trauk_sk;Max_ekipazu_sk;Max_autobusu_sk;Max_troleibusu_sk;Pervazos_kategorija;Pamainu_sk;Saugo_eismo_tarnyba;Dangos_tipas_prieigose;Dangos_tipas_ant_keliu;Matom_sal_mas_kab_nelyg;Matom_sal_mas_kab_lyg;Matom_sal_ekipaz_des_nelyg;Matom_sal_ekipaz_des_lyg;Matom_sal_ekipaz_kair_nelyg;Matom_sal_ekipaz_kair_lyg;Automat_uztv;Pusautomat_uztv;Mygt_uztv_pran_sv_signal;Mygt_uztv_pran_signal;Mech_uztv_pran_sv_signal;Mech_uztv_pran_signal;Be_signal;Atitv_signal;Automat_sv_signal;Neautomat_sv_signal;Rank_uztv;GSB_EDD_rysys;Radijo_rysys;Video;El_apsv;Prozektoriai;Kap_remonto_data;Pesc_takai;Reikia_kap_rem;Reikia_keisti_post_st;Ivykiai;Ivykio data;Metai;
1;1;Vilniaus;1 + 232;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;40,000;;;IV;;0,000;žvyr.;asf.;700,000;800,000;650,000;950,000;750,000;750,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2008;
2;1;Vilniaus;1 + 232;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;40,000;;;IV;;0,000;žvyr.;asf.;700,000;800,000;650,000;950,000;750,000;750,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2009;
3;1;Vilniaus;1 + 232;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;40,000;;;IV;;0,000;žvyr.;asf.;700,000;800,000;650,000;950,000;750,000;750,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2010;
4;1;Vilniaus;1 + 232;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;40,000;;;IV;;0,000;žvyr.;asf.;700,000;800,000;650,000;950,000;750,000;750,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2011;
5;1;Vilniaus;1 + 232;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;40,000;;;IV;;0,000;žvyr.;asf.;700,000;800,000;650,000;950,000;750,000;750,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2012;
6;1;Vilniaus;1 + 232;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;40,000;;;IV;;0,000;žvyr.;asf.;700,000;800,000;650,000;950,000;750,000;750,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2013;
7;2;Vilniaus;3 + 647;Kyviškės-Nemėžis;;0,000;1,000;4,500;1,000;;60,000;;21,000;35,000;;;IV;;0,000;žvyr.;asf.;300,000;900,000;250,000;800,000;300,000;850,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2008;
8;2;Vilniaus;3 + 647;Kyviškės-Nemėžis;;0,000;1,000;4,500;1,000;;60,000;;21,000;35,000;;;IV;;0,000;žvyr.;asf.;300,000;900,000;250,000;800,000;300,000;850,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2009;
9;2;Vilniaus;3 + 647;Kyviškės-Nemėžis;;0,000;1,000;4,500;1,000;;60,000;;21,000;35,000;;;IV;;0,000;žvyr.;asf.;300,000;900,000;250,000;800,000;300,000;850,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2010;
10;2;Vilniaus;3 + 647;Kyviškės-Nemėžis;;0,000;1,000;4,500;1,000;;60,000;;21,000;35,000;;;IV;;0,000;žvyr.;asf.;300,000;900,000;250,000;800,000;300,000;850,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2011;
11;2;Vilniaus;3 + 647;Kyviškės-Nemėžis;;0,000;1,000;4,500;1,000;;60,000;;21,000;35,000;;;IV;;0,000;žvyr.;asf.;300,000;900,000;250,000;800,000;300,000;850,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2012;
12;2;Vilniaus;3 + 647;Kyviškės-Nemėžis;;0,000;1,000;4,500;1,000;;60,000;;21,000;35,000;;;IV;;0,000;žvyr.;asf.;300,000;900,000;250,000;800,000;300,000;850,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2013;
13;3;Vilniaus;7 + 216;Kyviškės-Nemėžis;;1,000;1,000;6,500;1,000;;60,000;;21,000;2438,000;23,000;;II;4,000;1,000;asf.;guma;700,000;400,000;250,000;400,000;700,000;20,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2008;
14;3;Vilniaus;7 + 216;Kyviškės-Nemėžis;;1,000;1,000;6,500;1,000;;60,000;;21,000;2438,000;23,000;;II;4,000;1,000;asf.;guma;700,000;400,000;250,000;400,000;700,000;20,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2009;
15;3;Vilniaus;7 + 216;Kyviškės-Nemėžis;;1,000;1,000;6,500;1,000;;60,000;;21,000;2438,000;23,000;;II;4,000;1,000;asf.;guma;700,000;400,000;250,000;400,000;700,000;20,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2010;
16;3;Vilniaus;7 + 216;Kyviškės-Nemėžis;;1,000;1,000;6,500;1,000;;60,000;;21,000;2438,000;23,000;;II;4,000;1,000;asf.;guma;700,000;400,000;250,000;400,000;700,000;20,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2011;
17;3;Vilniaus;7 + 216;Kyviškės-Nemėžis;;1,000;1,000;6,500;1,000;;60,000;;21,000;2438,000;23,000;;II;4,000;1,000;asf.;guma;700,000;400,000;250,000;400,000;700,000;20,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2012;
18;3;Vilniaus;7 + 216;Kyviškės-Nemėžis;;1,000;1,000;6,500;1,000;;60,000;;21,000;2438,000;23,000;;II;4,000;1,000;asf.;guma;700,000;400,000;250,000;400,000;700,000;20,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2013;
19;4;Vilniaus;8 + 948;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;20,000;;;IV;;0,000;žvyr.;asf.;1000,000;500,000;1000,000;400,000;950,000;500,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2008;
20;4;Vilniaus;8 + 948;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;20,000;;;IV;;0,000;žvyr.;asf.;1000,000;500,000;1000,000;400,000;950,000;500,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2009;
21;4;Vilniaus;8 + 948;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;20,000;;;IV;;0,000;žvyr.;asf.;1000,000;500,000;1000,000;400,000;950,000;500,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2010;
22;4;Vilniaus;8 + 948;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;20,000;;;IV;;0,000;žvyr.;asf.;1000,000;500,000;1000,000;400,000;950,000;500,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2011;
23;4;Vilniaus;8 + 948;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;20,000;;;IV;;0,000;žvyr.;asf.;1000,000;500,000;1000,000;400,000;950,000;500,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2012;
24;4;Vilniaus;8 + 948;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;20,000;;;IV;;0,000;žvyr.;asf.;1000,000;500,000;1000,000;400,000;950,000;500,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2013;
25;5;Vilniaus;10 + 224;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;2006,000;44,000;;IV;;0,000;asf.;guma;1300,000;800,000;700,000;1300,000;800,000;1300,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2008;
26;5;Vilniaus;10 + 224;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;2006,000;44,000;;IV;;0,000;asf.;guma;1300,000;800,000;700,000;1300,000;800,000;1300,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2009;
27;5;Vilniaus;10 + 224;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;2006,000;44,000;;IV;;0,000;asf.;guma;1300,000;800,000;700,000;1300,000;800,000;1300,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2010;
28;5;Vilniaus;10 + 224;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;2006,000;44,000;;IV;;0,000;asf.;guma;1300,000;800,000;700,000;1300,000;800,000;1300,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2011;
29;5;Vilniaus;10 + 224;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;2006,000;44,000;;IV;;0,000;asf.;guma;1300,000;800,000;700,000;1300,000;800,000;1300,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2012;
30;5;Vilniaus;10 + 224;Kyviškės-Nemėžis;;0,000;1,000;6,500;1,000;;60,000;;21,000;2006,000;44,000;;IV;;0,000;asf.;guma;1300,000;800,000;700,000;1300,000;800,000;1300,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2013;
31;6;Vilniaus;13 + 515;Nemėžis-Valčiūnai;;0,000;1,000;8,000;1,000;;80,000;;21,000;38,000;;;IV;;0,000;žvyr.;asf.;1000,000;900,000;900,000;700,000;500,000;800,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2008;
32;6;Vilniaus;13 + 515;Nemėžis-Valčiūnai;;0,000;1,000;8,000;1,000;;80,000;;21,000;38,000;;;IV;;0,000;žvyr.;asf.;1000,000;900,000;900,000;700,000;500,000;800,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2009;
33;6;Vilniaus;13 + 515;Nemėžis-Valčiūnai;;0,000;1,000;8,000;1,000;;80,000;;21,000;38,000;;;IV;;0,000;žvyr.;asf.;1000,000;900,000;900,000;700,000;500,000;800,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2010;
34;6;Vilniaus;13 + 515;Nemėžis-Valčiūnai;;0,000;1,000;8,000;1,000;;80,000;;21,000;38,000;;;IV;;0,000;žvyr.;asf.;1000,000;900,000;900,000;700,000;500,000;800,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2011;
35;6;Vilniaus;13 + 515;Nemėžis-Valčiūnai;;0,000;1,000;8,000;1,000;;80,000;;21,000;38,000;;;IV;;0,000;žvyr.;asf.;1000,000;900,000;900,000;700,000;500,000;800,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2012;
36;6;Vilniaus;13 + 515;Nemėžis-Valčiūnai;;0,000;1,000;8,000;1,000;;80,000;;21,000;38,000;;;IV;;0,000;žvyr.;asf.;1000,000;900,000;900,000;700,000;500,000;800,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2013;
37;7;Vilniaus;18 + 456;Nemėžis-Valčiūnai;;1,000;1,000;12,000;1,000;;80,000;;21,000;7410,000;56,000;;I;4,000;1,000;asf.;guma;750,000;600,000;750,000;400,000;700,000;300,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2008;
38;7;Vilniaus;18 + 456;Nemėžis-Valčiūnai;;1,000;1,000;12,000;1,000;;80,000;;21,000;7410,000;56,000;;I;4,000;1,000;asf.;guma;750,000;600,000;750,000;400,000;700,000;300,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2009;
39;7;Vilniaus;18 + 456;Nemėžis-Valčiūnai;;1,000;1,000;12,000;1,000;;80,000;;21,000;7410,000;56,000;;I;4,000;1,000;asf.;guma;750,000;600,000;750,000;400,000;700,000;300,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2010;
40;7;Vilniaus;18 + 456;Nemėžis-Valčiūnai;;1,000;1,000;12,000;1,000;;80,000;;21,000;7410,000;56,000;;I;4,000;1,000;asf.;guma;750,000;600,000;750,000;400,000;700,000;300,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2011;
41;7;Vilniaus;18 + 456;Nemėžis-Valčiūnai;;1,000;1,000;12,000;1,000;;80,000;;21,000;7410,000;56,000;;I;4,000;1,000;asf.;guma;750,000;600,000;750,000;400,000;700,000;300,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2012;
42;7;Vilniaus;18 + 456;Nemėžis-Valčiūnai;;1,000;1,000;12,000;1,000;;80,000;;21,000;7410,000;56,000;;I;4,000;1,000;asf.;guma;750,000;600,000;750,000;400,000;700,000;300,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2013;
43;8;Vilniaus;21 + 586;Nemėžis-Valčiūnai;;0,000;1,000;6,500;1,000;;80,000;;21,000;620,000;16,000;;IV;;0,000;asf.;guma;1200,000;620,000;400,000;350,000;500,000;400,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;1,000;0,000;0;;2008;
44;8;Vilniaus;21 + 586;Nemėžis-Valčiūnai;;0,000;1,000;6,500;1,000;;80,000;;21,000;620,000;16,000;;IV;;0,000;asf.;guma;1200,000;620,000;400,000;350,000;500,000;400,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;1,000;0,000;0;;2009;
45;8;Vilniaus;21 + 586;Nemėžis-Valčiūnai;;0,000;1,000;6,500;1,000;;80,000;;21,000;620,000;16,000;;IV;;0,000;asf.;guma;1200,000;620,000;400,000;350,000;500,000;400,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;1,000;0,000;0;;2010;
46;8;Vilniaus;21 + 586;Nemėžis-Valčiūnai;;0,000;1,000;6,500;1,000;;80,000;;21,000;620,000;16,000;;IV;;0,000;asf.;guma;1200,000;620,000;400,000;350,000;500,000;400,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;1,000;0,000;0;;2011;
47;8;Vilniaus;21 + 586;Nemėžis-Valčiūnai;;0,000;1,000;6,500;1,000;;80,000;;21,000;620,000;16,000;;IV;;0,000;asf.;guma;1200,000;620,000;400,000;350,000;500,000;400,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;1,000;0,000;0;;2012;
48;8;Vilniaus;21 + 586;Nemėžis-Valčiūnai;;0,000;1,000;6,500;1,000;;80,000;;21,000;620,000;16,000;;IV;;0,000;asf.;guma;1200,000;620,000;400,000;350,000;500,000;400,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;1,000;0,000;0;;2013;
49;9;Vilniaus;1 + 458;Lentvaris-Senieji Trakai;1,000;1,000;1,000;7,700;2,000;1,000;60,000;;34,000;848,000;20,000;;IV;;1,000;asf.;guma;500,000;530,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;1,000;0,000;0;;2008;
50;9;Vilniaus;1 + 458;Lentvaris-Senieji Trakai;1,000;1,000;1,000;7,700;2,000;1,000;60,000;;34,000;848,000;20,000;;IV;;1,000;asf.;guma;500,000;530,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;1,000;0,000;1;2009.02.01;2009;
51;9;Vilniaus;1 + 458;Lentvaris-Senieji Trakai;1,000;1,000;1,000;7,700;2,000;1,000;60,000;;34,000;848,000;20,000;;IV;;1,000;asf.;guma;500,000;530,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;1,000;0,000;0;;2010;
52;9;Vilniaus;1 + 458;Lentvaris-Senieji Trakai;1,000;1,000;1,000;7,700;2,000;1,000;60,000;;34,000;848,000;20,000;;IV;;1,000;asf.;guma;500,000;530,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;1,000;0,000;0;;2011;
53;9;Vilniaus;1 + 458;Lentvaris-Senieji Trakai;1,000;1,000;1,000;7,700;2,000;1,000;60,000;;34,000;848,000;20,000;;IV;;1,000;asf.;guma;500,000;530,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;1,000;0,000;0;;2012;
54;9;Vilniaus;1 + 458;Lentvaris-Senieji Trakai;1,000;1,000;1,000;7,700;2,000;1,000;60,000;;34,000;848,000;20,000;;IV;;1,000;asf.;guma;500,000;530,000;0,000;0,000;0,000;0,000;1,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;1,000;0,000;0;;2013;
55;10;Vilniaus;6 + 10;Senieji Trakai-Rūdiškės;1,000;1,000;1,000;9,000;2,000;;100,000;;30,000;335,000;10,000;;IV;4,000;1,000;asf.;guma;900,000;1200,000;20,000;20,000;0,000;20,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2008;
56;10;Vilniaus;6 + 10;Senieji Trakai-Rūdiškės;1,000;1,000;1,000;9,000;2,000;;100,000;;30,000;335,000;10,000;;IV;4,000;1,000;asf.;guma;900,000;1200,000;20,000;20,000;0,000;20,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2009;
57;10;Vilniaus;6 + 10;Senieji Trakai-Rūdiškės;1,000;1,000;1,000;9,000;2,000;;100,000;;30,000;335,000;10,000;;IV;4,000;1,000;asf.;guma;900,000;1200,000;20,000;20,000;0,000;20,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2010;
58;10;Vilniaus;6 + 10;Senieji Trakai-Rūdiškės;1,000;1,000;1,000;9,000;2,000;;100,000;;30,000;335,000;10,000;;IV;4,000;1,000;asf.;guma;900,000;1200,000;20,000;20,000;0,000;20,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2011;
59;10;Vilniaus;6 + 10;Senieji Trakai-Rūdiškės;1,000;1,000;1,000;9,000;2,000;;100,000;;30,000;335,000;10,000;;IV;4,000;1,000;asf.;guma;900,000;1200,000;20,000;20,000;0,000;20,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2012;
60;10;Vilniaus;6 + 10;Senieji Trakai-Rūdiškės;1,000;1,000;1,000;9,000;2,000;;100,000;;30,000;335,000;10,000;;IV;4,000;1,000;asf.;guma;900,000;1200,000;20,000;20,000;0,000;20,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2013;
61;11;Vilniaus;9 + 26;Senieji Trakai-Rūdiškės;;0,000;1,000;6,000;1,000;;100,000;;20,000;39,000;;;IV;;0,000;asf.;gelžb.;1200,000;1200,000;10,000;30,000;40,000;80,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2008;
62;11;Vilniaus;9 + 26;Senieji Trakai-Rūdiškės;;0,000;1,000;6,000;1,000;;100,000;;20,000;39,000;;;IV;;0,000;asf.;gelžb.;1200,000;1200,000;10,000;30,000;40,000;80,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2009;
63;11;Vilniaus;9 + 26;Senieji Trakai-Rūdiškės;;0,000;1,000;6,000;1,000;;100,000;;20,000;39,000;;;IV;;0,000;asf.;gelžb.;1200,000;1200,000;10,000;30,000;40,000;80,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2010;
64;11;Vilniaus;9 + 26;Senieji Trakai-Rūdiškės;;0,000;1,000;6,000;1,000;;100,000;;20,000;39,000;;;IV;;0,000;asf.;gelžb.;1200,000;1200,000;10,000;30,000;40,000;80,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2011;
65;11;Vilniaus;9 + 26;Senieji Trakai-Rūdiškės;;0,000;1,000;6,000;1,000;;100,000;;20,000;39,000;;;IV;;0,000;asf.;gelžb.;1200,000;1200,000;10,000;30,000;40,000;80,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2012;
66;11;Vilniaus;9 + 26;Senieji Trakai-Rūdiškės;;0,000;1,000;6,000;1,000;;100,000;;20,000;39,000;;;IV;;0,000;asf.;gelžb.;1200,000;1200,000;10,000;30,000;40,000;80,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2013;
67;12;Vilniaus;14 + 493;Senieji Trakai-Rūdiškės;;0,000;1,000;7,200;1,000;;100,000;;20,000;319,000;;;IV;;0,000;asf.;guma;1000,000;1000,000;450,000;450,000;450,000;450,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2008;
68;12;Vilniaus;14 + 493;Senieji Trakai-Rūdiškės;;0,000;1,000;7,200;1,000;;100,000;;20,000;319,000;;;IV;;0,000;asf.;guma;1000,000;1000,000;450,000;450,000;450,000;450,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2009;
69;12;Vilniaus;14 + 493;Senieji Trakai-Rūdiškės;;0,000;1,000;7,200;1,000;;100,000;;20,000;319,000;;;IV;;0,000;asf.;guma;1000,000;1000,000;450,000;450,000;450,000;450,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;1,000;0,000;0,000;0,000;0,000;0,000;1,000;0,000;;0,000;0,000;0,000;0;;2010;
